,Unnamed: 0,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo,avg_registration_time
179,179,180,98,"279, 304-A, 427",04/10/2017,2017-05-10,Anandpur Sahib ,1900-01-02,22:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Mid Block,Over Speeding,near vill. Jindwari ,1,0,0,31.2999925,76.4933585,Link Road,Link Road,Rural,"31.2999925,76.4933585",30
180,180,181,100,"279,304-A,427",07/10/2017,2017-08-07,Anandpur Sahib ,1900-01-02,17:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,main road vill. Agampur ,1,0,0,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517",28
181,181,182,103,"279,304-A,337,427",10/13/2017,2017-10-13,Anandpur Sahib ,1900-01-06,22:00:00,Unknown,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,Chandesar morh vill. Sadewal ,1,0,1,31.2432739,76.4845757,SH,SH-22,Rural,"31.2432739,76.4845757",0
182,182,183,109,"279,304-A",11/18/2017,2017-11-18,Anandpur Sahib ,1900-01-07,09:30:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,main road vill. Magewal ,1,0,0,31.256008,76.474347,SH,SH-22,Rural,"31.256008,76.474347",0
183,183,184,112,"279,337,304-A,427",11/28/2017,2017-11-28,Anandpur Sahib ,1900-01-03,02:30:00,Unknown,0,0,0,Bus/Truck,1,0,1,Head on,0,Mid Block,Over Speeding,main road vill. Dher ,1,0,1,31.263219,76.456406,SH,SH-22,Rural,"31.263219,76.456406",0
184,184,185,128,"279,304-A,427 ",12/16/2017,2017-12-16,Anandpur Sahib ,1900-01-07,19:00:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,near pehlvan dhaba anandpur sahib ,1,0,0,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517",0
185,185,186,132,279337338427,12/22/2017,2017-12-23,Anandpur Sahib ,1900-01-06,18:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,1,Hit From Back,0,Intersection,Over Speeding,near vill. Rampur jajjar,0,1,1,31.288950399999997,76.4294946,SH,SH-22,Urban,"31.2889504,76.4294946",1
186,186,187,135,"279,304-A,427",12/27/2017,2017-12-28,Anandpur Sahib ,1900-01-04,21:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,near railway station main road anandpur sahib ,1,0,0,31.233475899999995,76.4984181,SH,SH-22,Rural,"31.2334759,76.4984181",1
187,187,188,140,"279,337,304-A,427",12/31/2017,2017-12-31,Anandpur Sahib ,1900-01-01,18:45:00,Bus/Truck,0,0,0,Two Wheeler,2,1,1,Sideswipe ,0,Intersection,Over Speeding,main road vill. Dher ,2,1,1,31.269153000000003,76.44802800000001,SH,SH-22,Rural,"31.269153,76.448028",0
188,188,189,11,279337427338,01/09/2017,2017-01-26,Nangal,1900-01-02,10:45:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,1,0,Head on,0,Mid Block,Approaching from wrong side,ajouli,0,1,0,31.2885055,76.3253678,Link Road,Link Road,Rural,"31.2885055,76.3253678",17
189,189,190,18,279337338427,02/06/2017,2017-02-14,Nangal,1900-01-02,19:30:00,Tractor-Trolley,0,0,0,Two Wheeler,0,2,0,Unknown,0,Mid Block,Over Speeding,khera kamlot,0,2,0,31.2885055,76.3253678,Link Road,Link Road,Rural,"31.2885055,76.3253678",8
190,190,191,20,"279,304-A",02/23/2017,2017-02-24,Nangal,1900-01-05,19:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Unknown,0,Intersection,Over Speeding,patti,1,0,0,31.3404104,76.3961028,SH,SH-22,Rural,"31.3404104,76.3961028",1
191,191,192,24,"279,337,304-A,427",03/01/2017,2017-03-01,Nangal,1900-01-04,12:50:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Mid Block,Approaching from wrong side,ajouli,1,1,0,31.327151,76.406873,SH,SH-22,Rural,"31.327151,76.406873",0
192,192,193,32,"279,304-A,427,337",03/20/2017,2017-03-20,Nangal,1900-01-02,08:35:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Sideswipe ,0,Mid Block,Over Speeding,jandla,1,1,0,31.317204999999998,76.413861,SH,SH-22,Rural,"31.317205,76.413861",0
193,193,194,35,"279,304-A,427",03/25/2017,2017-03-26,Nangal,1900-01-07,21:30:00,Car/Jeep/Van,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Intersection,Over Speeding,naya nangal,1,0,0,31.378928000000002,76.343867,SH,SH-25,Rural,"31.378928,76.343867",1
194,194,195,40,"279,337,304-A,427",03/31/2017,2017-03-31,Nangal,1900-01-06,08:30:00,Unknown,0,0,0,Two Wheeler,1,2,0,Unknown,0,Mid Block,Over Speeding,Raipur,1,2,0,31.3842533,76.38856136,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.38856136",0
195,195,196,42,"279,337,304-A,427",04/05/2017,2017-04-05,Nangal,1900-01-04,06:10:00,Bus/Truck,0,0,0,Bus/Truck,1,11,0,Head on,0,Mid Block,Approaching from wrong side,daroli,1,11,0,31.314064399999996,76.04152704,Link Road,Link Road,Rural,"31.3140644,76.04152704",0
196,196,197,46,"279,304-A",04/08/2017,2017-04-12,Nangal,1900-01-07,16:35:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,hambyal,1,0,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban,"31.3842533,76.3721895",4
197,197,198,47,"279,304-A,427",04/12/2017,2017-04-13,Nangal,1900-01-04,10:30:00,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Intersection,Over Speeding,patti,1,0,0,31.3404104,76.3961028,SH,SH-22,Rural,"31.3404104,76.3961028",1
198,198,199,52,"279,304-A",04/26/2017,2017-04-29,Nangal,1900-01-04,10:00:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,nangal,1,0,0,31.370449199999996,76.3754854,SH,SH-22,Urban,"31.3704492,76.3754854",3
199,199,200,54,"279,304,304-A,427",04/30/2017,2017-04-30,Nangal,1900-01-01,16:25:00,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Hit from Back,0,Mid Block,Over Speeding,KALSHERA,2,0,0,31.394227299999997,76.3443724,SH,SH-25,Rural,"31.3942273,76.3443724",0
200,200,201,94,279337338427,06/25/2017,2017-06-30,Nangal,1900-01-01,18:00:00,Bus/Truck,0,0,0,Two Wheeler,0,2,0,Hit from Side,0,Mid Block,Over Speeding,KALSHERA,0,2,0,31.3947743,76.3443724,SH,SH-25,Rural,"31.3947743,76.3443724",5
201,201,202,97,"279,337,338,304-A",07/01/2017,2017-07-03,Nangal,1900-01-07,09:30:00,Unknown,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Mid Block,Over Speeding,daroli,1,0,0,31.406440000000003,76.4152704,Link Road,Link Road,Rural,"31.40644,76.4152704",2
